ID,Gender,Age,Score,Department,Hired
928,Male,28,73.76,HR,Yes
634,Female,46,99.12,HR,Yes
565,Male,29,82.29,HR,No
928,Male,28,73.76,HR,Yes
370,Female,51,75.5,HR,Yes
561,Female,47,59.97,HR,Yes
565,Male,29,82.29,HR,No
172,Male,50,71.2,HR,Yes
692,Male,36,46.24,HR,Yes
370,Female,51,75.5,HR,Yes
737,Male,29,76.07,HR,Yes
565,Male,29,82.29,HR,No
737,Male,29,76.07,HR,Yes
634,Female,46,99.12,HR,Yes
370,Female,51,75.5,HR,Yes
561,Female,47,59.97,HR,Yes
172,Male,50,71.2,HR,Yes
946,Male,25,92.55,HR,Yes
172,Male,50,71.2,HR,Yes
928,Male,28,73.76,HR,Yes
172,Male,50,71.2,HR,Yes
953,Male,47,72.09,HR,Yes
344,Male,32,88.91,HR,Yes
946,Male,25,92.55,HR,Yes
426,Female,37,67.49,HR,Yes
692,Male,36,46.24,HR,Yes
282,Female,23,79.39,HR,No
561,Female,47,59.97,HR,Yes
733,Male,55,67.07,Sales,No
999,Female,43,65.97,Sales,Yes
389,Female,41,82.18,Sales,Yes
197,Female,53,96.34,Sales,No
945,Female,45,80.25,Sales,Yes
467,Male,48,76.55,Sales,No
767,Male,29,68.94,Sales,No
389,Female,41,82.18,Sales,Yes
467,Male,48,76.55,Sales,No
733,Male,55,67.07,Sales,No
988,Male,58,75.68,Sales,No
197,Female,53,96.34,Sales,No
767,Male,29,68.94,Sales,No
389,Female,41,82.18,Sales,Yes
676,Male,28,65.09,Sales,No
305,Male,36,78.51,Sales,Yes
297,Male,30,73.16,Sales,Yes
999,Female,43,65.97,Sales,Yes
676,Male,28,65.09,Sales,No
952,Male,29,85.39,Sales,Yes
999,Female,43,65.97,Sales,Yes
883,Male,45,81.15,Sales,Yes
305,Male,36,78.51,Sales,Yes
41,Male,41,62.31,Sales,Yes
